position error,pose error,loss
0.000,162.954,162.954
0.000,160.220,160.220
0.001,155.313,155.314
0.003,149.780,149.783
0.001,145.375,145.377
0.004,142.228,142.232
0.004,140.476,140.480
0.003,138.693,138.695
0.003,137.471,137.474
0.002,135.280,135.282
0.000,133.539,133.539
0.002,131.993,131.995
0.000,129.551,129.551
0.000,126.306,126.306
0.001,122.459,122.460
0.002,117.783,117.786
0.001,113.067,113.067
0.002,109.020,109.022
0.003,103.166,103.169
0.001,99.143,99.144
0.001,94.887,94.889
0.002,91.176,91.178
0.000,87.934,87.935
0.000,84.800,84.800
0.000,83.668,83.668
0.000,82.029,82.029
0.002,79.871,79.873
0.002,78.021,78.023
0.002,77.578,77.581
0.000,75.481,75.481
0.001,74.118,74.119
0.002,75.394,75.396
0.001,74.068,74.070
0.002,73.635,73.637
0.001,71.887,71.888
0.000,73.257,73.257
0.000,72.455,72.455
0.002,72.409,72.411
0.002,72.034,72.036
0.001,71.690,71.691
0.001,70.707,70.707
0.003,70.019,70.022
0.002,69.584,69.586
0.001,68.511,68.512
0.000,68.802,68.802
0.001,68.452,68.453
0.002,68.636,68.638
0.004,71.153,71.157
0.001,67.572,67.573
0.001,68.982,68.983
0.002,68.645,68.647
0.001,68.761,68.762
0.000,68.599,68.599
0.000,66.792,66.792
0.000,68.655,68.656
0.001,68.477,68.478
0.000,67.197,67.198
0.002,67.045,67.046
0.002,68.673,68.675
0.004,67.477,67.481
0.005,67.811,67.816
0.002,66.398,66.400
0.002,66.593,66.594
0.000,66.737,66.737
0.001,66.014,66.014
0.001,65.623,65.624
0.000,67.385,67.385
0.002,65.962,65.964
0.001,66.483,66.484
0.003,66.544,66.547
0.002,66.117,66.120
0.001,67.956,67.957
0.000,65.954,65.954
0.001,65.334,65.336
0.001,66.591,66.592
0.002,65.601,65.603
0.002,65.797,65.799
0.000,65.815,65.815
0.002,65.011,65.013
0.001,66.102,66.103
0.000,63.716,63.717
0.000,66.180,66.181
0.001,66.199,66.200
0.002,65.913,65.914
0.002,64.069,64.071
0.002,65.396,65.398
0.001,65.052,65.053
0.000,65.333,65.333
0.001,65.657,65.658
0.000,67.013,67.013
0.002,64.208,64.210
0.002,63.511,63.513
0.000,64.500,64.500
0.006,65.738,65.744
0.004,65.233,65.237
0.001,64.531,64.532
0.001,64.523,64.524
0.000,66.161,66.162
0.002,63.964,63.966
0.001,63.699,63.700
0.002,63.705,63.707
0.001,64.398,64.399
0.000,64.501,64.501
0.002,64.292,64.294
0.002,63.471,63.473
0.001,64.484,64.485
0.000,65.575,65.575
0.002,63.857,63.858
0.000,64.415,64.415
0.004,64.655,64.660
0.001,64.225,64.226
0.001,64.108,64.109
0.002,63.116,63.118
0.001,63.128,63.129
0.001,62.805,62.806
0.001,63.873,63.873
0.004,64.043,64.048
0.000,63.890,63.890
0.001,62.811,62.811
0.000,63.039,63.040
0.003,63.276,63.278
0.001,62.870,62.872
0.002,62.072,62.074
0.000,63.021,63.021
0.001,63.433,63.434
0.000,63.279,63.279
0.002,62.998,63.001
0.001,63.126,63.127
0.001,63.317,63.318
0.005,63.914,63.919
0.002,63.057,63.059
0.000,63.579,63.580
0.005,63.495,63.500
0.002,63.535,63.537
0.001,62.344,62.345
0.002,62.433,62.435
0.001,61.551,61.552
0.001,63.274,63.275
0.002,62.273,62.276
0.000,63.315,63.315
0.000,61.642,61.642
0.002,62.588,62.589
0.000,62.117,62.117
0.000,62.605,62.605
0.000,62.807,62.807
0.001,61.592,61.592
0.003,61.741,61.744
0.002,62.011,62.013
0.003,62.919,62.921
0.001,62.721,62.722
0.002,63.222,63.224
0.001,62.182,62.183
0.001,62.494,62.495
0.001,61.503,61.504
0.002,61.831,61.833
0.000,62.397,62.397
0.004,62.509,62.513
0.000,61.718,61.718
0.001,62.663,62.664
0.004,62.174,62.178
0.000,61.787,61.787
0.001,61.424,61.425
0.002,61.735,61.737
0.002,62.254,62.256
0.002,61.915,61.917
0.001,60.917,60.919
0.001,63.302,63.304
0.001,61.359,61.361
0.003,62.008,62.011
0.001,61.494,61.495
0.002,61.168,61.170
0.000,60.880,60.880
0.002,60.785,60.787
0.004,61.648,61.652
0.001,61.101,61.102
0.001,63.078,63.079
0.000,60.990,60.990
0.002,59.888,59.890
0.000,60.974,60.974
0.000,60.639,60.639
0.008,63.852,63.860
0.001,61.206,61.206
0.005,62.012,62.017
0.003,61.185,61.188
0.003,60.846,60.849
0.000,61.814,61.814
0.000,61.279,61.280
0.001,60.905,60.906
0.001,61.818,61.819
0.002,60.323,60.324
0.001,61.296,61.297
0.000,59.119,59.119
0.000,62.801,62.801
0.000,60.725,60.726
0.002,61.136,61.138
0.001,61.179,61.180
0.002,61.566,61.568
0.001,61.672,61.674
0.005,60.517,60.521
0.002,61.194,61.195
0.001,61.078,61.080
0.001,60.157,60.158
0.003,61.569,61.572
0.001,60.507,60.508
0.003,60.351,60.355
0.002,59.941,59.943
0.002,60.722,60.724
0.001,59.871,59.872
0.001,60.790,60.791
0.003,62.213,62.216
0.001,60.300,60.301
0.000,61.376,61.376
0.002,60.960,60.962
0.001,59.684,59.685
0.001,60.537,60.537
0.000,60.859,60.859
0.003,60.902,60.905
0.000,59.572,59.572
0.000,61.080,61.080
0.002,61.150,61.152
0.001,59.280,59.281
0.001,59.791,59.792
0.002,58.819,58.821
0.002,58.734,58.737
0.001,61.552,61.553
0.000,60.573,60.574
0.002,59.706,59.708
0.000,60.227,60.227
0.000,59.800,59.800
0.002,60.116,60.117
0.002,59.858,59.860
0.003,61.644,61.647
0.001,59.378,59.378
0.001,60.631,60.633
0.004,58.512,58.515
0.000,60.583,60.583
0.001,61.155,61.156
0.002,60.478,60.480
0.002,59.923,59.925
0.000,60.520,60.520
0.001,59.312,59.312
0.001,59.323,59.324
0.001,60.492,60.493
0.001,58.653,58.654
0.004,60.810,60.814
0.000,60.534,60.534
0.000,59.649,59.649
0.003,60.851,60.853
0.001,60.389,60.390
0.001,59.159,59.160
0.001,60.633,60.634
0.004,60.527,60.531
0.006,60.453,60.459
0.001,59.782,59.783
0.001,58.820,58.820
0.001,60.176,60.177
0.002,59.107,59.109
0.002,60.258,60.260
0.002,59.489,59.491
0.003,60.610,60.612
0.000,58.815,58.815
0.000,59.632,59.632
0.000,59.074,59.075
0.001,60.557,60.559
0.000,58.941,58.941
0.000,59.013,59.013
0.000,59.166,59.166
0.001,58.513,58.513
0.001,59.409,59.410
0.001,59.643,59.644
0.000,59.596,59.596
0.003,60.679,60.682
0.002,59.605,59.608
0.004,60.133,60.137
0.006,60.285,60.291
0.004,57.735,57.738
0.001,60.912,60.913
0.001,59.656,59.657
0.002,58.401,58.403
0.001,59.265,59.266
0.001,58.633,58.634
0.000,60.400,60.400
0.000,59.410,59.410
0.000,60.054,60.054
0.001,59.828,59.830
0.001,59.415,59.415
0.001,60.432,60.433
0.000,57.392,57.392
0.002,58.935,58.937
0.001,58.130,58.131
0.003,59.292,59.295
0.001,59.366,59.367
0.002,60.656,60.658
0.005,60.558,60.563
0.001,57.666,57.666
0.002,58.132,58.133
0.002,57.880,57.883
0.000,59.474,59.474
0.004,60.193,60.197
0.003,57.961,57.964
0.003,58.473,58.476
0.002,59.510,59.512
0.001,58.685,58.686
0.001,60.101,60.102
0.000,58.594,58.594
0.001,59.142,59.144
0.001,59.002,59.003
0.002,57.880,57.882
0.004,59.405,59.409
0.002,59.808,59.810
0.001,58.098,58.099
0.000,59.966,59.966
0.002,58.792,58.794
0.002,59.420,59.421
0.001,58.309,58.310
0.001,58.355,58.356
0.001,58.261,58.262
0.001,59.222,59.223
0.002,58.264,58.266
0.001,58.800,58.801
0.001,58.732,58.732
0.001,58.861,58.861
0.003,59.710,59.713
0.002,58.814,58.816
0.002,60.050,60.052
0.001,59.503,59.505
0.004,58.449,58.453
0.002,58.985,58.987
0.001,58.422,58.423
0.000,57.629,57.629
0.000,58.632,58.633
0.001,60.036,60.037
0.001,58.957,58.958
0.003,58.138,58.141
0.002,60.069,60.071
0.002,58.268,58.270
0.002,58.493,58.495
0.001,57.635,57.636
0.004,57.977,57.981
0.001,58.428,58.429
0.003,59.632,59.635
0.000,58.960,58.960
0.002,58.809,58.812
0.000,58.627,58.627
0.000,59.523,59.524
0.001,60.687,60.688
0.000,58.924,58.924
0.000,58.234,58.234
0.000,57.023,57.023
0.001,57.713,57.714
0.000,57.910,57.910
0.000,58.556,58.556
0.000,59.856,59.856
0.007,58.053,58.060
0.009,59.820,59.829
0.001,59.792,59.792
0.003,58.355,58.358
0.002,58.548,58.549
0.000,58.970,58.971
0.001,58.010,58.011
0.001,58.431,58.432
0.002,59.028,59.030
0.002,57.587,57.589
0.001,59.392,59.393
0.001,59.269,59.270
0.001,57.641,57.642
0.001,59.789,59.790
0.000,58.020,58.020
0.001,58.562,58.562
0.001,57.648,57.649
0.001,58.649,58.649
0.003,56.945,56.949
0.004,58.271,58.276
0.001,59.208,59.209
0.001,58.356,58.356
0.001,59.470,59.471
0.000,57.002,57.002
0.001,59.181,59.182
0.001,56.792,56.793
0.003,57.332,57.336
0.003,57.255,57.258
0.001,57.411,57.413
0.004,58.375,58.379
0.001,58.154,58.155
0.004,56.665,56.669
0.002,57.916,57.918
0.001,59.106,59.107
0.000,57.653,57.654
0.001,59.383,59.384
0.000,58.693,58.693
0.001,57.217,57.218
0.002,56.721,56.722
0.000,58.030,58.030
0.001,58.566,58.567
0.000,57.299,57.299
0.001,59.026,59.027
0.004,58.699,58.704
0.002,56.960,56.962
0.001,57.401,57.402
0.003,58.362,58.366
