position error,pose error,loss
0.000,163.082,163.082
0.000,160.579,160.579
0.001,156.099,156.100
0.002,150.619,150.621
0.001,146.586,146.587
0.003,144.236,144.239
0.002,142.846,142.848
0.001,142.782,142.783
0.000,142.777,142.777
0.001,142.183,142.183
0.000,142.299,142.299
0.002,142.055,142.057
0.001,141.891,141.892
0.000,142.181,142.181
0.001,141.569,141.569
0.001,141.893,141.894
0.000,141.439,141.439
0.000,141.395,141.395
0.000,141.111,141.111
0.001,140.385,140.386
0.000,141.030,141.030
0.000,140.498,140.499
0.001,140.470,140.470
0.000,139.627,139.627
0.001,140.260,140.261
0.001,139.505,139.506
0.000,139.136,139.136
0.000,139.140,139.140
0.002,138.577,138.579
0.000,138.605,138.605
0.000,138.681,138.681
0.000,138.547,138.547
0.000,137.610,137.610
0.000,137.890,137.890
0.001,137.188,137.189
0.000,136.702,136.702
0.002,136.593,136.595
0.000,135.850,135.850
0.001,135.933,135.934
0.000,135.489,135.489
0.000,135.398,135.398
0.001,136.004,136.005
0.000,134.594,134.594
0.001,134.143,134.144
0.000,134.205,134.205
0.002,133.692,133.694
0.001,132.818,132.819
0.000,131.800,131.800
0.001,131.591,131.592
0.001,131.756,131.757
0.000,131.836,131.836
0.001,130.705,130.707
0.000,130.236,130.236
0.000,129.446,129.446
0.000,129.899,129.899
0.001,129.796,129.797
0.002,129.258,129.260
0.001,128.168,128.168
0.000,129.423,129.423
0.000,128.013,128.013
0.000,126.032,126.032
0.000,127.815,127.816
0.001,126.159,126.160
0.001,126.258,126.259
0.001,125.377,125.378
0.000,123.782,123.783
0.000,125.079,125.079
0.000,125.291,125.291
0.002,124.784,124.786
0.001,122.961,122.962
0.000,122.174,122.174
0.000,122.494,122.494
0.000,124.755,124.755
0.000,121.506,121.506
0.002,120.771,120.772
0.003,122.055,122.058
0.000,121.363,121.363
0.000,120.771,120.771
0.001,119.875,119.876
0.000,120.676,120.676
0.001,118.569,118.570
0.000,119.174,119.175
0.000,118.734,118.734
0.001,118.004,118.005
0.000,117.883,117.883
0.000,116.880,116.880
0.000,117.198,117.198
0.001,117.668,117.669
0.000,116.980,116.981
0.000,116.318,116.318
0.000,116.821,116.821
0.000,116.811,116.812
0.002,115.427,115.429
0.001,114.514,114.515
0.001,114.841,114.842
0.001,113.290,113.291
0.001,114.250,114.251
0.001,112.912,112.913
0.001,113.507,113.508
0.000,113.619,113.619
0.000,112.919,112.919
0.003,112.949,112.952
0.000,111.853,111.853
0.000,110.398,110.398
0.000,110.900,110.900
0.000,110.651,110.651
0.001,111.547,111.548
0.000,112.319,112.319
0.000,112.045,112.045
0.000,110.376,110.377
0.001,109.031,109.032
0.003,109.914,109.917
0.002,109.000,109.002
0.002,108.473,108.475
0.001,110.632,110.633
0.000,109.644,109.645
0.000,107.244,107.244
0.000,107.817,107.817
0.001,107.967,107.968
0.000,106.998,106.998
0.000,107.371,107.372
0.001,107.950,107.951
0.000,107.298,107.298
0.000,107.895,107.896
0.001,106.825,106.826
0.000,107.224,107.224
0.001,105.442,105.443
0.001,105.882,105.883
0.003,106.147,106.150
0.000,103.666,103.666
0.000,103.549,103.549
0.000,105.315,105.315
0.001,104.650,104.651
0.001,104.466,104.466
0.000,104.811,104.811
0.001,103.123,103.124
0.000,102.412,102.412
0.001,104.016,104.017
0.001,103.844,103.845
0.001,103.779,103.780
0.001,103.555,103.556
0.001,103.438,103.439
0.001,103.172,103.173
0.000,103.263,103.263
0.000,103.499,103.499
0.001,101.656,101.658
0.003,101.994,101.997
0.000,102.591,102.591
0.000,103.339,103.339
0.001,101.104,101.105
0.002,101.436,101.438
0.002,100.836,100.838
0.001,101.477,101.478
0.001,101.468,101.469
0.002,100.953,100.954
0.000,100.432,100.432
0.000,101.237,101.237
0.001,100.612,100.614
0.000,99.381,99.381
0.002,99.821,99.823
0.000,98.301,98.301
0.000,98.586,98.586
0.000,100.344,100.344
0.001,98.618,98.619
0.000,101.353,101.353
0.001,98.777,98.778
0.000,98.623,98.623
0.000,97.929,97.929
0.001,97.734,97.736
0.000,100.123,100.123
0.001,97.979,97.979
0.001,99.094,99.095
0.001,98.422,98.423
0.000,98.766,98.766
0.001,97.786,97.787
0.001,97.991,97.992
0.000,97.767,97.767
0.001,98.172,98.173
0.002,97.549,97.552
0.001,96.978,96.979
0.001,95.960,95.961
0.004,95.625,95.629
0.001,95.319,95.320
0.000,96.812,96.812
0.002,95.078,95.080
0.001,96.403,96.404
0.000,95.521,95.522
0.000,97.107,97.107
0.000,97.410,97.411
0.001,94.911,94.912
0.001,95.199,95.199
0.000,96.951,96.951
0.001,97.112,97.113
0.000,95.418,95.418
0.000,94.663,94.663
0.002,95.388,95.390
0.003,94.028,94.031
0.000,95.242,95.242
0.002,95.459,95.461
0.000,94.475,94.475
0.000,95.604,95.604
0.001,96.574,96.575
0.000,94.863,94.863
0.002,94.914,94.916
0.003,94.204,94.207
0.000,95.223,95.223
0.001,94.932,94.933
0.000,95.329,95.329
0.001,94.391,94.392
0.002,92.940,92.942
0.001,94.652,94.653
0.001,94.690,94.691
0.000,94.094,94.094
0.005,94.014,94.018
0.001,94.084,94.085
0.001,93.304,93.305
0.000,95.152,95.152
0.000,93.045,93.045
0.001,92.819,92.820
0.001,92.072,92.073
0.001,95.312,95.313
0.001,93.266,93.267
0.002,91.809,91.811
0.002,92.003,92.005
0.002,93.504,93.506
0.000,94.513,94.513
0.000,93.837,93.837
0.000,93.077,93.077
0.000,93.160,93.160
0.002,92.979,92.981
0.001,94.213,94.214
0.001,91.140,91.141
0.003,92.896,92.899
0.000,92.136,92.137
0.001,92.321,92.322
0.001,91.952,91.953
0.001,92.460,92.461
0.002,91.343,91.345
0.001,91.805,91.806
0.001,92.548,92.550
0.001,92.267,92.268
0.000,91.290,91.291
0.000,92.924,92.924
0.000,91.413,91.414
0.004,90.808,90.812
0.000,90.564,90.564
0.001,92.431,92.432
0.000,92.044,92.044
0.000,91.212,91.212
0.001,92.008,92.009
0.000,91.757,91.758
0.001,90.068,90.069
0.001,90.373,90.374
0.001,90.654,90.654
0.001,91.105,91.107
0.003,91.695,91.698
0.000,91.070,91.070
0.000,90.383,90.383
0.000,89.212,89.212
0.000,93.016,93.016
0.001,89.966,89.966
0.001,91.084,91.085
0.000,89.941,89.941
0.000,89.051,89.051
0.001,88.868,88.869
0.003,90.871,90.874
0.000,90.318,90.319
0.001,90.610,90.611
0.001,88.766,88.767
0.002,89.475,89.477
0.002,90.310,90.312
0.000,89.624,89.624
0.001,89.701,89.702
0.002,89.951,89.953
0.001,89.425,89.426
0.000,92.122,92.122
0.001,87.838,87.839
0.000,90.114,90.114
0.001,90.830,90.830
0.000,89.323,89.323
0.000,90.132,90.132
0.000,90.961,90.961
0.001,88.968,88.969
0.001,89.827,89.828
0.001,89.946,89.947
0.002,89.263,89.265
0.001,88.663,88.664
0.000,88.620,88.620
0.000,88.781,88.782
0.001,88.201,88.202
0.001,87.314,87.315
0.000,87.557,87.557
0.000,89.383,89.383
0.000,88.868,88.868
0.000,89.257,89.257
0.002,89.267,89.269
0.001,89.341,89.342
0.000,88.193,88.193
0.001,88.504,88.505
0.001,88.157,88.158
0.001,89.284,89.285
0.001,87.603,87.604
0.002,87.830,87.832
0.000,88.399,88.400
0.001,88.209,88.211
0.001,87.872,87.872
0.000,87.998,87.998
0.000,87.861,87.862
0.002,88.674,88.676
0.001,87.839,87.840
0.001,88.115,88.117
0.000,88.164,88.164
0.000,88.649,88.649
0.001,88.944,88.945
0.001,89.550,89.551
0.000,88.256,88.256
0.001,87.818,87.818
0.000,88.051,88.051
0.000,89.075,89.075
0.000,86.196,86.196
0.001,87.233,87.233
0.000,88.259,88.259
0.000,86.469,86.469
0.000,87.225,87.225
0.002,88.822,88.824
0.001,88.887,88.889
0.002,86.742,86.743
0.001,87.260,87.261
0.001,87.042,87.043
0.000,86.963,86.964
0.002,87.640,87.641
0.002,85.485,85.487
0.001,87.327,87.328
0.001,86.302,86.303
0.000,86.705,86.705
0.000,87.646,87.646
0.001,86.714,86.715
0.001,86.711,86.711
0.001,86.606,86.607
0.001,87.148,87.149
0.001,86.416,86.418
0.001,88.278,88.280
0.000,86.788,86.788
0.000,87.439,87.439
0.001,87.554,87.556
0.002,87.687,87.689
0.001,86.303,86.304
0.002,85.836,85.839
0.001,86.667,86.668
0.004,87.120,87.124
0.002,86.182,86.184
0.001,86.119,86.120
0.002,85.774,85.776
0.001,86.303,86.304
0.001,85.501,85.502
0.001,87.074,87.075
0.000,86.503,86.503
0.002,84.895,84.897
0.001,87.350,87.351
0.001,86.228,86.229
0.002,86.091,86.093
