position accuracy,pose accuracy,position loss,pose loss,loss,running_loss
0,0.062,0.87,4.378,5.247,5.176
0,0.075,0.832,4.415,0.875,5.25
0,0,2.213,5.966,1.363,8.178
0,0.088,0.744,4.395,5.139,5.086
0,0.084,0.846,4.442,0.881,5.286
0,0,2.151,6.022,1.362,8.172
0,0.068,0.715,4.395,5.109,5.069
0.001,0.076,0.978,4.407,0.898,5.388
0,0,2.332,6.003,1.389,8.334
0.001,0.07,0.757,4.562,5.318,5.06
0,0.077,1.013,4.419,0.905,5.43
0,0,2.428,5.983,1.402,8.412
0.001,0.068,0.726,4.485,5.211,5.049
0.001,0.075,0.987,4.461,0.908,5.448
0,0,2.594,6.022,1.436,8.616
0.001,0.093,0.713,4.178,4.891,5.039
0.001,0.075,0.895,4.424,0.886,5.316
0,0,1.68,5.968,1.275,7.65
0,0.072,0.695,4.378,5.072,5.026
0,0.074,0.884,4.41,0.882,5.292
0,0,1.818,5.996,1.302,7.812
0,0.064,0.679,4.479,5.158,5.004
0.001,0.054,0.83,4.454,0.881,5.286
0,0,1.969,5.993,1.327,7.962
0.001,0.058,0.69,4.35,5.04,4.977
0,0.026,0.964,4.504,0.911,5.466
0,0,2.387,6.12,1.418,8.508
0.002,0.059,0.697,4.122,4.819,4.942
0,0.02,1.012,4.522,0.922,5.532
0,0,1.593,6.038,1.272,7.632
0.001,0.044,0.664,4.192,4.856,4.897
0,0.021,1.013,4.602,0.936,5.616
0,0,2.172,6.081,1.375,8.25
0.003,0.031,0.662,4.177,4.839,4.834
0.001,0.014,0.993,4.754,0.958,5.748
0,0,2.32,6.595,1.486,8.916
0,0.024,0.653,4.255,4.909,4.763
0,0.005,1.053,4.867,0.987,5.922
0,0,2.343,7.077,1.57,9.42
0,0.023,0.651,3.843,4.494,4.68
0,0.015,0.891,4.778,0.945,5.67
0,0.002,2.82,7.432,1.709,10.254
0.002,0.014,0.665,4.078,4.744,4.595
0.001,0.018,1.061,4.886,0.991,5.946
0,0.002,2.233,7.858,1.682,10.092
0,0.019,0.655,3.924,4.579,4.501
0.001,0.014,1.074,4.998,1.012,6.072
0,0,2.545,9.446,1.998,11.988
0.002,0.021,0.626,3.727,4.352,4.404
0,0.008,1.008,5.093,1.017,6.102
0,0,1.755,9.482,1.873,11.238
0.002,0.014,0.667,3.706,4.373,4.324
0,0.007,0.93,5.197,1.021,6.126
0,0,1.877,8.557,1.739,10.434
0,0.016,0.61,3.603,4.213,4.236
0,0.003,0.947,5.45,1.066,6.396
0,0,2.287,8.41,1.783,10.698
0,0.014,0.615,3.477,4.092,4.156
0,0.007,0.935,5.442,1.063,6.378
0,0.002,2.883,9.807,2.115,12.69
0.001,0.015,0.659,3.472,4.132,4.068
0,0.005,0.975,5.876,1.142,6.852
0,0,2.507,7.14,1.608,9.648
0,0.016,0.651,3.251,3.902,3.998
0,0.01,0.987,5.253,1.04,6.24
0,0.003,2.853,8.005,1.81,10.86
0.001,0.009,0.638,3.22,3.858,3.918
0.001,0.008,0.971,5.415,1.064,6.384
0,0,2.384,10.251,2.106,12.636
0.001,0.018,0.635,3.175,3.81,3.847
0,0.002,0.938,5.927,1.144,6.864
0,0.001,2.925,11.13,2.342,14.052
0.001,0.017,0.613,3.11,3.723,3.796
0,0.011,0.943,5.454,1.066,6.396
0,0.001,2.202,13.713,2.653,15.918
0,0.014,0.633,2.987,3.62,3.731
0,0.005,1.097,5.935,1.172,7.032
0,0,2.946,11.412,2.393,14.358
0,0.014,0.627,2.993,3.619,3.666
0,0.011,1.043,5.73,1.129,6.774
0,0,2.907,7.158,1.677,10.062
0,0.012,0.636,2.852,3.488,3.6
0,0.006,1.05,5.982,1.172,7.032
0,0.001,2.52,7.44,1.66,9.96
0.002,0.012,0.626,2.848,3.474,3.539
0.001,0.003,1.063,5.92,1.164,6.984
0,0,2.797,7.483,1.713,10.278
0.002,0.011,0.622,3.045,3.668,3.499
0,0.007,1.008,6.389,1.233,7.398
0,0,2.637,8.757,1.899,11.394
0,0.009,0.606,2.915,3.521,3.452
0,0.008,1.121,5.606,1.121,6.726
0,0,2.862,7.245,1.685,10.11
0.003,0.009,0.637,2.75,3.387,3.397
0,0.009,0.968,5.657,1.104,6.624
0,0.001,3.446,7.241,1.781,10.686
0.002,0.014,0.648,2.844,3.492,3.366
0,0.006,1.007,5.634,1.107,6.642
0,0,3.085,8.089,1.862,11.172
0.001,0.014,0.614,2.672,3.286,3.315
0.001,0.005,1.066,6.093,1.193,7.158
0,0,2.684,6.452,1.523,9.138
0.002,0.012,0.606,2.593,3.199,3.271
0.001,0.004,1.245,6.275,1.253,7.518
0,0,2.334,6.418,1.459,8.754
0.003,0.008,0.609,2.629,3.238,3.24
0.001,0.005,1.054,6.524,1.263,7.578
0,0.003,2.759,7.904,1.777,10.662
0.001,0.011,0.61,2.597,3.207,3.196
0.001,0.007,1.087,6.862,1.325,7.95
0,0,2.617,7.897,1.752,10.512
0.001,0.015,0.619,2.411,3.03,3.158
0.001,0.006,0.946,5.956,1.15,6.9
0,0,2.226,6.259,1.414,8.484
0.001,0.017,0.605,2.62,3.225,3.119
0,0.014,0.938,5.707,1.108,6.648
0,0,2.531,6.902,1.572,9.432
0.001,0.012,0.612,2.53,3.141,3.113
0,0.004,0.943,6.438,1.23,7.38
0,0,2.907,7.446,1.726,10.356
0.002,0.015,0.594,2.386,2.979,3.046
