position error,pose error,loss
0.001,163.010,163.010
0.000,160.366,160.366
0.000,155.863,155.864
0.003,150.401,150.404
0.001,146.707,146.708
0.002,144.592,144.594
0.001,142.882,142.883
0.003,142.880,142.883
0.002,142.616,142.618
0.001,142.439,142.441
0.001,142.444,142.445
0.001,142.167,142.168
0.000,142.423,142.423
0.000,142.066,142.066
0.001,141.813,141.813
0.000,141.402,141.403
0.000,141.238,141.239
0.000,141.450,141.450
0.000,141.138,141.138
0.000,141.661,141.661
0.000,141.053,141.054
0.000,140.780,140.780
0.000,141.068,141.068
0.000,140.266,140.266
0.000,140.974,140.974
0.000,140.360,140.360
0.000,140.415,140.415
0.000,140.458,140.458
0.001,140.592,140.593
0.000,140.391,140.392
0.001,140.353,140.354
0.000,139.654,139.654
0.000,139.725,139.725
0.000,139.547,139.547
0.000,139.687,139.687
0.000,139.238,139.238
0.000,139.152,139.152
0.000,138.832,138.832
0.000,138.541,138.541
0.001,138.475,138.476
0.000,138.042,138.042
0.000,137.991,137.991
0.001,137.586,137.587
0.001,137.168,137.169
0.000,137.243,137.243
0.001,137.836,137.837
0.002,136.578,136.580
0.001,137.063,137.064
0.000,137.132,137.132
0.000,136.529,136.530
0.000,136.280,136.280
0.000,134.807,134.807
0.000,135.809,135.809
0.000,135.359,135.359
0.000,135.015,135.015
0.000,134.608,134.608
0.000,134.437,134.437
0.000,133.821,133.821
0.000,133.485,133.486
0.001,133.586,133.587
0.000,133.021,133.021
0.000,132.274,132.274
0.001,131.823,131.824
0.001,131.301,131.302
0.000,132.253,132.253
0.000,130.862,130.862
0.001,130.547,130.547
0.000,130.405,130.406
0.002,130.293,130.295
0.001,129.984,129.984
0.001,129.906,129.906
0.000,129.358,129.358
0.001,128.997,128.998
0.000,129.306,129.306
0.000,128.321,128.321
0.000,127.333,127.333
0.000,126.194,126.194
0.001,127.261,127.262
0.000,126.552,126.552
0.000,126.012,126.012
0.001,125.767,125.768
0.000,125.691,125.692
0.001,124.821,124.823
0.002,124.341,124.343
0.000,124.017,124.017
0.000,124.451,124.451
0.000,124.009,124.009
0.000,122.336,122.336
0.000,121.346,121.346
0.000,123.278,123.278
