position accuracy,pose accuracy,position loss,pose loss,loss, running_loss
0.000,0.062,0.870,4.378,5.247,5.176
0.000,0.075,0.832,4.415,0.875,-1
0.000,0.000,2.213,5.966,1.363,-1
0.000,0.088,0.744,4.395,5.139,5.086
0.000,0.084,0.846,4.442,0.881,-1
0.000,0.000,2.151,6.022,1.362,-1
0.000,0.068,0.715,4.395,5.109,5.069
0.001,0.076,0.978,4.407,0.898,-1
0.000,0.000,2.332,6.003,1.389,-1
0.001,0.070,0.757,4.562,5.318,5.060
0.000,0.077,1.013,4.419,0.905,-1
0.000,0.000,2.428,5.983,1.402,-1
0.001,0.068,0.726,4.485,5.211,5.049
0.001,0.075,0.987,4.461,0.908,-1
0.000,0.000,2.594,6.022,1.436,-1
0.001,0.093,0.713,4.178,4.891,5.039
0.001,0.075,0.895,4.424,0.886,-1
0.000,0.000,1.680,5.968,1.275,-1
0.000,0.072,0.695,4.378,5.072,5.026
0.000,0.074,0.884,4.410,0.882,-1
0.000,0.000,1.818,5.996,1.302,-1
0.000,0.064,0.679,4.479,5.158,5.004
0.001,0.054,0.830,4.454,0.881,-1
0.000,0.000,1.969,5.993,1.327,-1
0.001,0.058,0.690,4.350,5.040,4.977
0.000,0.026,0.964,4.504,0.911,-1
0.000,0.000,2.387,6.120,1.418,-1
0.002,0.059,0.697,4.122,4.819,4.942
0.000,0.020,1.012,4.522,0.922,-1
0.000,0.000,1.593,6.038,1.272,-1
0.001,0.044,0.664,4.192,4.856,4.897
0.000,0.021,1.013,4.602,0.936,-1
0.000,0.000,2.172,6.081,1.375,-1
0.003,0.031,0.662,4.177,4.839,4.834
0.001,0.014,0.993,4.754,0.958,-1
0.000,0.000,2.320,6.595,1.486,-1
0.000,0.024,0.653,4.255,4.909,4.763
0.000,0.005,1.053,4.867,0.987,-1
0.000,0.000,2.343,7.077,1.570,-1
0.000,0.023,0.651,3.843,4.494,4.680
0.000,0.015,0.891,4.778,0.945,-1
0.000,0.002,2.820,7.432,1.709,-1
0.002,0.014,0.665,4.078,4.744,4.595
0.001,0.018,1.061,4.886,0.991,-1
0.000,0.002,2.233,7.858,1.682,-1
0.000,0.019,0.655,3.924,4.579,4.501
0.001,0.014,1.074,4.998,1.012,-1
0.000,0.000,2.545,9.446,1.998,-1
0.002,0.021,0.626,3.727,4.352,4.404
0.000,0.008,1.008,5.093,1.017,-1
0.000,0.000,1.755,9.482,1.873,-1
0.002,0.014,0.667,3.706,4.373,4.324
0.000,0.007,0.930,5.197,1.021,-1
0.000,0.000,1.877,8.557,1.739,-1
0.000,0.016,0.610,3.603,4.213,4.236
0.000,0.003,0.947,5.450,1.066,-1
0.000,0.000,2.287,8.410,1.783,-1
0.000,0.014,0.615,3.477,4.092,4.156
0.000,0.007,0.935,5.442,1.063,-1
0.000,0.002,2.883,9.807,2.115,-1
0.001,0.015,0.659,3.472,4.132,4.068
0.000,0.005,0.975,5.876,1.142,-1
0.000,0.000,2.507,7.140,1.608,-1
0.000,0.016,0.651,3.251,3.902,3.998
0.000,0.010,0.987,5.253,1.040,-1
0.000,0.003,2.853,8.005,1.810,-1
0.001,0.009,0.638,3.220,3.858,3.918
0.001,0.008,0.971,5.415,1.064,-1
0.000,0.000,2.384,10.251,2.106,-1
0.001,0.018,0.635,3.175,3.810,3.847
0.000,0.002,0.938,5.927,1.144,-1
0.000,0.001,2.925,11.130,2.342,-1
0.001,0.017,0.613,3.110,3.723,3.796
0.000,0.011,0.943,5.454,1.066,-1
0.000,0.001,2.202,13.713,2.653,-1
0.000,0.014,0.633,2.987,3.620,3.731
0.000,0.005,1.097,5.935,1.172,-1
0.000,0.000,2.946,11.412,2.393,-1
0.000,0.014,0.627,2.993,3.619,3.666
0.000,0.011,1.043,5.730,1.129,-1
0.000,0.000,2.907,7.158,1.677,-1
0.000,0.012,0.636,2.852,3.488,3.600
0.000,0.006,1.050,5.982,1.172,-1
0.000,0.001,2.520,7.440,1.660,-1
