position accuracy,pose accuracy,position loss,pose loss,loss
0.000,0.010,0.518,0.867,1.385
0.000,0.015,0.236,0.774,1.010
0.000,0.025,0.266,0.804,1.069
0.000,0.015,0.213,0.883,1.095
0.000,0.025,0.202,0.799,1.001
0.000,0.020,0.197,0.899,1.096
0.000,0.045,0.183,0.730,0.912
0.000,0.040,0.173,0.684,0.856
0.000,0.070,0.186,0.711,0.897
0.000,0.045,0.181,0.686,0.868
0.000,0.040,0.164,0.756,0.920
0.000,0.055,0.187,0.734,0.921
0.000,0.065,0.207,0.789,0.996
0.000,0.030,0.192,0.800,0.992
0.000,0.045,0.166,0.773,0.939
0.000,0.040,0.166,0.657,0.823
0.000,0.035,0.158,0.685,0.843
0.000,0.040,0.182,0.675,0.857
0.000,0.035,0.166,0.768,0.934
0.000,0.040,0.166,0.756,0.922
0.000,0.050,0.174,0.698,0.872
0.005,0.025,0.163,0.760,0.923
0.000,0.065,0.169,0.679,0.848
0.000,0.040,0.179,0.701,0.881
0.000,0.070,0.182,0.748,0.930
0.000,0.040,0.154,0.717,0.871
0.000,0.030,0.169,0.702,0.871
0.000,0.035,0.172,0.713,0.885
0.000,0.055,0.163,0.637,0.800
0.000,0.010,0.181,0.858,1.039
0.000,0.025,0.160,0.744,0.903
0.000,0.015,0.156,0.705,0.861
0.000,0.035,0.167,0.760,0.927
0.000,0.025,0.145,0.765,0.910
0.005,0.055,0.160,0.705,0.866
0.000,0.025,0.164,0.737,0.901
0.000,0.025,0.183,0.743,0.926
0.000,0.030,0.161,0.728,0.888
0.000,0.045,0.187,0.689,0.877
0.000,0.025,0.141,0.632,0.773
0.000,0.035,0.158,0.636,0.794
0.000,0.020,0.145,0.724,0.869
0.000,0.015,0.145,0.702,0.848
0.000,0.015,0.168,0.724,0.891
0.000,0.025,0.142,0.620,0.761
0.000,0.005,0.151,0.728,0.879
0.000,0.035,0.134,0.700,0.834
0.000,0.025,0.166,0.681,0.846
0.000,0.020,0.140,0.679,0.819
0.005,0.045,0.167,0.659,0.826
0.000,0.030,0.150,0.724,0.874
0.000,0.035,0.146,0.605,0.751
0.000,0.010,0.165,0.683,0.848
0.000,0.020,0.165,0.711,0.876
0.000,0.025,0.147,0.720,0.867
0.000,0.025,0.151,0.704,0.855
0.000,0.025,0.142,0.789,0.930
0.000,0.005,0.156,0.702,0.859
0.000,0.015,0.163,0.656,0.819
0.000,0.025,0.140,0.692,0.831
0.000,0.015,0.151,0.684,0.834
0.000,0.015,0.127,0.660,0.787
0.000,0.005,0.162,0.681,0.843
0.000,0.010,0.171,0.721,0.892
0.005,0.015,0.143,0.630,0.773
0.000,0.010,0.145,0.630,0.775
0.000,0.040,0.149,0.583,0.732
0.000,0.020,0.158,0.665,0.823
0.000,0.010,0.138,0.571,0.709
0.000,0.015,0.155,0.705,0.860
