position accuracy,pose accuracy,position loss,pose loss,loss
0.000,0.015,0.487,0.923,1.410
0.000,0.000,0.262,0.735,0.998
0.000,0.025,0.234,0.832,1.066
0.000,0.020,0.226,0.875,1.100
0.000,0.040,0.205,0.799,1.004
0.000,0.025,0.200,0.713,0.913
0.000,0.060,0.187,0.730,0.916
0.000,0.070,0.199,0.780,0.979
0.000,0.055,0.163,0.695,0.858
0.000,0.050,0.199,0.817,1.016
0.000,0.045,0.190,0.793,0.983
0.000,0.035,0.179,0.722,0.901
0.000,0.030,0.187,0.727,0.913
0.000,0.040,0.173,0.789,0.962
0.000,0.010,0.166,0.759,0.925
0.000,0.045,0.147,0.788,0.935
0.000,0.020,0.172,0.712,0.885
0.000,0.030,0.158,0.683,0.842
0.000,0.030,0.149,0.764,0.914
0.000,0.015,0.172,0.782,0.954
0.000,0.030,0.161,0.693,0.854
0.000,0.030,0.178,0.736,0.914
0.000,0.035,0.158,0.637,0.795
0.000,0.025,0.160,0.801,0.960
0.000,0.015,0.144,0.758,0.902
0.000,0.010,0.164,0.729,0.893
0.000,0.030,0.189,0.652,0.841
0.000,0.020,0.156,0.768,0.923
0.000,0.010,0.153,0.762,0.915
0.000,0.010,0.146,0.693,0.839
0.000,0.025,0.168,0.698,0.865
0.000,0.025,0.170,0.636,0.806
0.000,0.025,0.165,0.678,0.843
0.000,0.005,0.153,0.726,0.879
0.000,0.035,0.175,0.660,0.834
0.000,0.025,0.147,0.731,0.878
0.000,0.010,0.153,0.642,0.795
0.000,0.030,0.146,0.652,0.797
0.000,0.010,0.149,0.746,0.895
0.005,0.015,0.156,0.598,0.754
0.000,0.015,0.150,0.650,0.800
0.000,0.020,0.160,0.663,0.822
0.000,0.025,0.171,0.665,0.835
0.000,0.025,0.163,0.707,0.870
0.000,0.025,0.145,0.661,0.807
0.000,0.025,0.160,0.691,0.851
0.000,0.025,0.159,0.668,0.827
0.000,0.010,0.153,0.614,0.768
0.000,0.025,0.162,0.576,0.738
0.000,0.005,0.145,0.656,0.802
0.000,0.010,0.142,0.656,0.798
0.000,0.010,0.152,0.668,0.821
0.000,0.015,0.152,0.693,0.845
0.000,0.025,0.159,0.674,0.833
0.000,0.010,0.143,0.652,0.795
0.000,0.030,0.145,0.669,0.813
0.000,0.010,0.162,0.628,0.790
0.000,0.010,0.153,0.611,0.764
0.000,0.010,0.154,0.680,0.834
0.000,0.020,0.147,0.546,0.692
0.000,0.020,0.154,0.576,0.730
0.000,0.015,0.151,0.579,0.731
0.000,0.020,0.126,0.605,0.731
0.000,0.015,0.149,0.629,0.778
0.000,0.020,0.138,0.569,0.707
0.000,0.005,0.168,0.561,0.729
0.000,0.010,0.155,0.602,0.757
0.000,0.025,0.154,0.565,0.719
0.000,0.020,0.133,0.611,0.744
0.000,0.005,0.125,0.561,0.686
