position accuracy,pose accuracy,position loss,pose loss,loss
0.000,0.061,0.998,4.242,5.240
0.000,0.064,0.828,4.556,5.383
0.001,0.083,0.904,4.464,5.368
0.000,0.062,0.850,4.538,5.388
0.000,0.074,0.822,4.467,5.289
0.000,0.067,0.874,4.193,5.067
0.000,0.058,0.866,4.307,5.172
0.001,0.039,0.840,4.268,5.107
0.000,0.035,0.812,4.162,4.974
0.000,0.031,0.872,3.938,4.810
0.000,0.028,0.808,3.554,4.362
0.001,0.020,0.817,3.156,3.973
0.001,0.014,0.838,2.779,3.617
0.000,0.013,0.791,2.150,2.941
0.000,0.025,0.775,2.241,3.015
0.000,0.025,0.778,1.856,2.634
0.000,0.026,0.788,1.634,2.423
0.000,0.017,0.770,1.545,2.315
0.001,0.036,0.756,1.483,2.238
0.001,0.031,0.708,1.410,2.118
0.000,0.028,0.729,1.327,2.056
0.001,0.026,0.671,1.384,2.055
0.000,0.034,0.675,1.145,1.820
0.000,0.040,0.650,1.047,1.696
0.001,0.043,0.643,0.925,1.568
0.000,0.042,0.660,1.147,1.807
0.001,0.048,0.620,0.979,1.599
0.000,0.050,0.641,0.883,1.524
0.000,0.043,0.608,0.924,1.531
0.000,0.065,0.598,0.949,1.547
0.002,0.047,0.568,0.862,1.430
0.000,0.061,0.550,0.768,1.318
0.000,0.041,0.571,0.961,1.532
0.002,0.073,0.550,0.737,1.287
0.000,0.056,0.528,0.746,1.274
0.001,0.070,0.466,0.689,1.156
0.001,0.071,0.494,0.659,1.153
0.001,0.071,0.429,0.612,1.041
0.002,0.075,0.392,0.653,1.045
0.002,0.080,0.361,0.642,1.003
0.004,0.089,0.350,0.572,0.921
0.000,0.087,0.383,0.604,0.988
0.002,0.115,0.338,0.629,0.967
0.000,0.117,0.290,0.374,0.664
0.002,0.113,0.307,0.580,0.887
0.001,0.143,0.267,0.490,0.757
0.002,0.145,0.251,0.404,0.655
0.000,0.162,0.275,0.476,0.751
0.004,0.172,0.223,0.359,0.582
0.000,0.149,0.229,0.336,0.565
0.004,0.165,0.214,0.424,0.638
0.001,0.176,0.213,0.370,0.583
0.004,0.223,0.203,0.417,0.621
0.003,0.174,0.220,0.467,0.687
0.002,0.210,0.167,0.287,0.454
0.001,0.195,0.217,0.418,0.635
0.003,0.219,0.215,0.479,0.694
0.003,0.251,0.154,0.252,0.406
0.002,0.233,0.167,0.328,0.495
0.005,0.211,0.163,0.351,0.514
0.006,0.243,0.154,0.315,0.469
0.005,0.299,0.137,0.235,0.372
0.009,0.284,0.152,0.278,0.430
0.007,0.258,0.125,0.219,0.345
0.004,0.282,0.141,0.241,0.382
0.003,0.280,0.159,0.302,0.461
0.004,0.328,0.162,0.342,0.504
0.005,0.286,0.139,0.332,0.471
0.002,0.310,0.119,0.205,0.324
0.003,0.342,0.128,0.212,0.340
